Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"San Diego, CA","Washington, DC",4,Blue,18,Male,0,2012,36,4,Business travel,1,10,60,Eco,15,2/15/14,OU,Oursin Airlines Inc.,Virginia,California,18,40,42,No,320,2253,yes,-77.18974,38.897394,-117.128799,32.928728
"Gillette, WY","Denver, CO",5,Platinum,68,Female,1,2011,14,1,Personal Travel,0,0,115,Eco,13,1/13/14,OO,Northwest Business Airlines Inc.,Colorado,Wyoming,19,161,162,No,78,313,yes,-104.955096,39.710774,-105.484013,44.273303
"Washington, DC","Portland, OR",2,Blue,80,Female,1,2006,46,9,Personal Travel,0,0,100,Business,28,3/28/14,OU,Oursin Airlines Inc.,Oregon,Virginia,8,1,0,No,264,2327,no,-122.651087,45.520404,-77.18974,38.897394
"Buffalo, NY","New York, NY",4,Blue,42,Female,1,2006,23,13,Mileage tickets,1,0,26,Business,17,3/17/14,B6,OnlyJets Airlines Inc.,New York,New York,16,0,0,No,61,301,no,-73.970221,40.718357,-78.823675,42.92493
"Omaha, NE","Chicago, IL",4,Platinum,46,Male,1,2005,17,6,Business travel,0,0,135,Eco,4,2/4/14,WN,Cheapseats Airlines Inc.,Illinois,Nebraska,17,69,72,No,71,423,yes,-87.895427,41.827126,-96.034641,41.234859
"Huntsville, AL","Atlanta, GA",3,Platinum,54,Female,1,2007,27,7,Mileage tickets,0,0,105,Eco,8,2/8/14,DL,Sigma Airlines Inc.,Georgia,Alabama,21,0,0,No,29,151,no,-84.331858,33.824102,-86.639233,34.741669
"Boston, MA","Jacksonville, FL",4,Silver,60,Female,1,2003,11,9,Business travel,0,15,60,Eco,8,1/8/14,B6,OnlyJets Airlines Inc.,Florida,Massachusetts,17,0,0,No,120,1010,no,-81.64274,30.24014,-71.140708,42.373132
"Houston, TX","Sacramento, CA",5,Blue,35,Female,1,2011,20,4,Business travel,0,245,105,Eco Plus,19,3/19/14,OU,Oursin Airlines Inc.,California,Texas,23,0,0,No,184,1609,no,-121.324669,38.638578,-95.393531,29.784308
"Cleveland, OH","Chicago, IL",4,Blue,29,Male,1,2008,17,19,Business travel,1,0,50,Eco,26,3/26/14,EV,FlyFast Airways Inc.,Illinois,Ohio,21,0,0,No,43,315,no,-87.895427,41.827126,-81.605443,41.443638
"St. Louis, MO","Phoenix, AZ",4,Blue,17,Male,2,2008,4,2,Mileage tickets,2,190,180,Eco,11,1/11/14,WN,Cheapseats Airlines Inc.,Arizona,Missouri,12,0,4,No,161,1262,no,-111.970041,33.494067,-90.340926,38.630705
"Salt Lake City, UT","Phoenix, AZ",4,Blue,45,Male,2,2006,37,5,Business travel,0,0,30,Eco,11,3/11/14,DL,Sigma Airlines Inc.,Arizona,Utah,16,0,0,No,67,507,no,-111.970041,33.494067,-111.929515,40.640838
"Miami, FL","Houston, TX",4,Blue,56,Female,1,2006,10,5,Business travel,0,0,45,Eco,5,2/5/14,AA,Paul Smith Airlines Inc.,Texas,Florida,10,0,3,No,114,964,no,-95.393531,29.784308,-80.231428,26.175616
"New York, NY","Las Vegas, NV",4,Silver,50,Male,1,2003,31,9,Business travel,1,15,90,Eco,6,3/6/14,AA,Paul Smith Airlines Inc.,Nevada,New York,10,0,0,No,270,2248,no,-115.167218,36.134893,-73.970221,40.718357
"Jacksonville, FL","Atlanta, GA",3,Gold,31,Female,1,2004,13,10,Business travel,0,150,60,Eco,29,3/29/14,DL,Sigma Airlines Inc.,Georgia,Florida,22,166,147,No,38,270,yes,-84.331858,33.824102,-81.64274,30.24014
"New York, NY","Miami, FL",4,Blue,31,Male,2,2010,25,7,Business travel,2,0,25,Business,17,2/17/14,AA,Paul Smith Airlines Inc.,Florida,New York,19,15,3,No,145,1096,no,-80.231428,26.175616,-73.970221,40.718357
"Tucson, AZ","Las Vegas, NV",2,Blue,80,Female,2,2011,21,8,Personal Travel,0,0,70,Eco,14,3/14/14,WN,Cheapseats Airlines Inc.,Nevada,Arizona,14,9,1,No,54,365,no,-115.167218,36.134893,-110.946141,32.254891
"San Francisco, CA","Los Angeles, CA",3,Blue,56,Male,1,2011,1,4,Business travel,0,0,20,Eco,1,1/1/14,WN,Cheapseats Airlines Inc.,California,California,8,0,0,No,58,337,no,-118.104332,33.982668,-122.383287,37.754645
"Philadelphia, PA","San Francisco, CA",5,Gold,45,Male,1,2010,48,4,Business travel,0,0,20,Eco,23,2/23/14,US,Southeast Airlines Co.,California,Pennsylvania,22,5,0,No,270,2521,no,-122.383287,37.754645,-75.298163,39.973331
"Houston, TX","Chicago, IL",3,Silver,73,Female,1,2011,30,1,Personal Travel,0,30,95,Eco,24,1/24/14,WN,Cheapseats Airlines Inc.,Illinois,Texas,15,30,20,No,133,937,yes,-87.895427,41.827126,-95.393531,29.784308
"Atlanta, GA","Minneapolis, MN",3,Blue,78,Male,1,2003,27,3,Personal Travel,0,60,120,Business,28,3/28/14,DL,Sigma Airlines Inc.,Minnesota,Georgia,5,0,2,No,126,907,no,-93.2798,44.978156,-84.331858,33.824102
"Indianapolis, IN","Miami, FL",4,Gold,38,Female,2,2011,12,26,Business travel,1,0,0,Business,1,3/1/14,MQ,EnjoyFlying Air Services,Florida,Indiana,9,0,0,No,156,1020,no,-80.231428,26.175616,-86.145521,39.811262
"Jacksonville, FL","Atlanta, GA",2,Blue,73,Female,1,2009,31,10,Personal Travel,0,5,75,Eco,23,3/23/14,DL,Sigma Airlines Inc.,Georgia,Florida,11,9,10,No,44,270,yes,-84.331858,33.824102,-81.64274,30.24014
"Miami, FL","San Juan, PR",2,Blue,38,Female,3,2008,29,4,Personal Travel,0,0,30,Eco,11,1/11/14,AA,Paul Smith Airlines Inc.,Puerto Rico,Florida,8,0,0,No,142,1045,no,-66.116246,18.288174,-80.231428,26.175616
"Flint, MI","Baltimore, MD",4,Blue,50,Female,1,2004,20,9,Business travel,1,0,180,Eco,11,1/11/14,WN,Cheapseats Airlines Inc.,Maryland,Michigan,10,25,26,No,72,452,yes,-76.64776,39.234099,-83.694698,42.988756
"Albuquerque, NM","New York, NY",2,Blue,68,Male,1,2003,34,6,Personal Travel,0,300,95,Eco,19,1/19/14,B6,OnlyJets Airlines Inc.,New York,New Mexico,19,3,0,No,254,1826,no,-73.970221,40.718357,-106.628138,35.143367
"Atlanta, GA","Key West, FL",4,Blue,41,Female,1,2003,13,8,Business travel,1,49,105,Eco,13,2/13/14,DL,Sigma Airlines Inc.,Florida,Georgia,17,20,14,No,96,646,yes,-81.751371,24.569654,-84.331858,33.824102
"Miami, FL","San Francisco, CA",5,Silver,40,Male,2,2005,29,22,Business travel,3,45,30,Eco,12,2/12/14,AA,Paul Smith Airlines Inc.,California,Florida,6,20,14,No,292,2585,yes,-122.383287,37.754645,-80.231428,26.175616
"Austin, TX","Philadelphia, PA",4,Silver,35,Female,1,2005,10,6,Business travel,0,210,60,Eco,22,1/22/14,US,Southeast Airlines Co.,Pennsylvania,Texas,17,0,4,No,222,1430,no,-75.298163,39.973331,-97.761533,30.358514
"Chicago, IL","Knoxville, TN",3,Silver,54,Female,1,2010,12,8,Personal Travel,0,45,180,Eco,9,3/9/14,EV,FlyFast Airways Inc.,Tennessee,Illinois,8,20,7,No,77,475,yes,-84.024448,35.91678,-87.895427,41.827126
"Tampa, FL","New York, NY",4,Blue,23,Male,1,2007,1,1,Business travel,1,11,20,Eco,9,1/9/14,B6,OnlyJets Airlines Inc.,New York,Florida,8,2,13,No,161,1005,yes,-73.970221,40.718357,-82.513188,28.006247
"Orlando, FL","Charlotte, NC",3,Blue,23,Female,1,2011,26,1,Personal Travel,0,15,90,Eco,3,3/3/14,US,Southeast Airlines Co.,North Carolina,Florida,13,0,0,No,73,468,no,-80.815826,35.249654,-81.411184,28.584434
"Boston, MA","Chicago, IL",4,Gold,24,Female,3,2009,22,9,Business travel,0,0,10,Eco,21,2/21/14,AA,Paul Smith Airlines Inc.,Illinois,Massachusetts,19,0,0,No,104,867,no,-87.895427,41.827126,-71.140708,42.373132
"Tampa, FL","Detroit, MI",4,Silver,79,Female,2,2011,21,10,Personal Travel,0,0,120,Eco,16,1/16/14,DL,Sigma Airlines Inc.,Michigan,Florida,8,0,0,No,137,983,no,-83.227554,42.490005,-82.513188,28.006247
"Portland, ME","Washington, DC",5,Blue,60,Male,2,2008,31,2,Business travel,0,15,30,Eco Plus,5,3/5/14,EV,FlyFast Airways Inc.,Virginia,Maine,16,0,0,No,66,493,no,-77.18974,38.897394,-70.322088,43.663722
"Fayetteville, AR","Houston, TX",4,Silver,31,Female,1,2008,8,27,Business travel,3,10,30,Eco,25,2/25/14,EV,FlyFast Airways Inc.,Texas,Arkansas,19,0,20,No,72,438,yes,-95.393531,29.784308,-94.179749,36.267419
"San Francisco, CA","Medford, OR",4,Silver,69,Female,1,2007,18,4,Personal Travel,0,205,180,Eco,6,3/6/14,OO,Northwest Business Airlines Inc.,Oregon,California,7,0,0,No,88,329,no,-122.844238,42.336442,-122.383287,37.754645
"Fort Wayne, IN","Detroit, MI",3,Blue,80,Female,1,2003,17,6,Personal Travel,0,0,60,Eco,30,3/30/14,OO,Northwest Business Airlines Inc.,Michigan,Indiana,10,0,0,No,27,128,no,-83.227554,42.490005,-85.138898,41.100389
"Los Angeles, CA","San Jose, CA",2,Blue,35,Female,1,2011,16,14,Personal Travel,5,0,15,Eco,28,1/28/14,OO,Northwest Business Airlines Inc.,California,California,6,0,0,No,48,308,no,-121.945145,37.329845,-118.104332,33.982668
"Reno, NV","Denver, CO",4,Platinum,37,Female,1,2004,22,8,Mileage tickets,0,0,0,Eco,12,3/12/14,WN,Cheapseats Airlines Inc.,Colorado,Nevada,8,14,0,No,107,804,no,-104.955096,39.710774,-119.797255,39.532575
"Washington, DC","New York, NY",3,Blue,29,Female,1,2003,13,11,Personal Travel,2,60,45,Eco,11,1/11/14,MQ,EnjoyFlying Air Services,New York,Virginia,12,NA,NA,Yes,NA,213,no,-73.970221,40.718357,-77.18974,38.897394
"Dothan, AL","Atlanta, GA",4,Blue,20,Female,1,2005,5,4,Business travel,1,0,150,Eco,24,2/24/14,EV,FlyFast Airways Inc.,Georgia,Alabama,13,0,0,No,29,170,no,-84.331858,33.824102,-85.425104,31.223667
"Chicago, IL","Seattle, WA",3,Blue,73,Female,1,2006,50,4,Personal Travel,0,0,5,Eco,13,2/13/14,AA,Paul Smith Airlines Inc.,Washington,Illinois,14,0,0,No,191,1721,no,-122.274661,47.468409,-87.895427,41.827126
"Las Vegas, NV","Los Angeles, CA",3,Gold,40,Female,1,2007,12,37,Personal Travel,1,0,80,Eco,25,1/25/14,AA,Paul Smith Airlines Inc.,California,Nevada,19,0,0,No,46,236,no,-118.104332,33.982668,-115.167218,36.134893
"Tampa, FL","Indianapolis, IN",3,Blue,49,Female,1,2012,22,27,Personal Travel,2,10,60,Eco,25,3/25/14,WN,Cheapseats Airlines Inc.,Indiana,Florida,13,7,1,No,108,837,no,-86.145521,39.811262,-82.513188,28.006247
"Minneapolis, MN","Bemidji, MN",4,Silver,42,Male,1,2008,8,41,Business travel,2,0,180,Business,20,1/20/14,OO,Northwest Business Airlines Inc.,Minnesota,Minnesota,5,0,4,No,36,199,no,-94.883524,47.480112,-93.2798,44.978156
"Seattle, WA","Fairbanks, AK",2,Blue,75,Male,1,2004,19,6,Personal Travel,0,10,65,Eco,21,2/21/14,AS,FlyToSun Airlines Inc.,Alaska,Washington,17,1,0,No,167,1533,no,-147.968377,64.806567,-122.274661,47.468409
"Chicago, IL","Omaha, NE",3,Blue,78,Female,1,2012,41,5,Personal Travel,0,0,45,Eco,5,1/5/14,EV,FlyFast Airways Inc.,Nebraska,Illinois,14,NA,NA,Yes,NA,416,no,-96.034641,41.234859,-87.895427,41.827126
"Denver, CO","St. Louis, MO",5,Silver,30,Female,2,2011,29,4,Business travel,0,60,45,Eco Plus,3,2/3/14,F9,GoingNorth Airlines Inc.,Missouri,Colorado,14,0,29,No,123,770,yes,-90.340926,38.630705,-104.955096,39.710774
"Little Rock, AR","Las Vegas, NV",3,Blue,57,Male,2,2011,49,1,Business travel,0,0,30,Eco,10,3/10/14,WN,Cheapseats Airlines Inc.,Nevada,Arkansas,11,17,17,No,161,1294,yes,-115.167218,36.134893,-92.321221,34.756564
"Phoenix, AZ","Los Angeles, CA",3,Blue,66,Male,2,2010,29,1,Mileage tickets,0,30,90,Eco,4,2/4/14,OO,Northwest Business Airlines Inc.,California,Arizona,12,0,0,No,57,370,no,-118.104332,33.982668,-111.970041,33.494067
"Las Vegas, NV","Little Rock, AR",3,Blue,55,Female,2,2012,37,7,Personal Travel,0,40,10,Eco,1,3/1/14,WN,Cheapseats Airlines Inc.,Arkansas,Nevada,13,0,0,No,201,1294,no,-92.321221,34.756564,-115.167218,36.134893
"Chicago, IL","Boston, MA",4,Blue,28,Male,3,2003,0,2,Business travel,1,0,85,Eco,25,2/25/14,WN,Cheapseats Airlines Inc.,Massachusetts,Illinois,19,0,0,No,135,861,no,-71.140708,42.373132,-87.895427,41.827126
"Reno, NV","Salt Lake City, UT",4,Silver,43,Female,1,2007,33,7,Business travel,3,75,80,Eco,3,2/3/14,OO,Northwest Business Airlines Inc.,Utah,Nevada,8,0,0,No,68,422,no,-111.929515,40.640838,-119.797255,39.532575
"San Francisco, CA","Portland, OR",4,Gold,26,Male,1,2008,3,5,Business travel,0,0,180,Eco,26,1/26/14,AS,FlyToSun Airlines Inc.,Oregon,California,19,0,0,No,80,550,no,-122.651087,45.520404,-122.383287,37.754645
"Denver, CO","Tampa, FL",3,Blue,33,Female,2,2009,15,7,Business travel,2,45,65,Eco Plus,17,3/17/14,WN,Cheapseats Airlines Inc.,Florida,Colorado,15,104,101,No,213,1506,yes,-82.513188,28.006247,-104.955096,39.710774
"Detroit, MI","Cleveland, OH",5,Platinum,46,Male,1,2003,9,17,Business travel,1,15,180,Eco,9,3/9/14,OO,Northwest Business Airlines Inc.,Ohio,Michigan,13,0,0,No,30,95,no,-81.605443,41.443638,-83.227554,42.490005
"Philadelphia, PA","San Juan, PR",1,Blue,33,Female,1,2009,6,17,Business travel,2,60,170,Eco,8,2/8/14,US,Southeast Airlines Co.,Puerto Rico,Pennsylvania,13,200,188,No,201,1576,yes,-66.116246,18.288174,-75.298163,39.973331
"New York, NY","Miami, FL",4,Silver,46,Female,1,2010,6,11,Business travel,2,15,90,Eco,15,2/15/14,AA,Paul Smith Airlines Inc.,Florida,New York,6,0,0,No,135,1096,no,-80.231428,26.175616,-73.970221,40.718357
"Atlanta, GA","Boston, MA",3,Gold,72,Female,1,2003,14,1,Personal Travel,0,5,145,Eco,26,3/26/14,FL,FlyHere Airways,Massachusetts,Georgia,15,0,0,No,125,946,no,-71.140708,42.373132,-84.331858,33.824102
"St. Louis, MO","New York, NY",4,Silver,36,Male,1,2012,31,7,Mileage tickets,2,0,60,Eco,24,2/24/14,WN,Cheapseats Airlines Inc.,New York,Missouri,12,3,4,No,139,888,no,-73.970221,40.718357,-90.340926,38.630705
"Green Bay, WI","Detroit, MI",2,Blue,79,Female,2,2011,17,7,Personal Travel,0,0,315,Eco,2,2/2/14,OO,Northwest Business Airlines Inc.,Michigan,Wisconsin,15,0,0,No,57,287,no,-83.227554,42.490005,-88.039503,44.507214
"New York, NY","Sacramento, CA",4,Blue,32,Female,2,2003,31,13,Business travel,2,60,20,Eco Plus,17,2/17/14,B6,OnlyJets Airlines Inc.,California,New York,23,35,34,No,275,2521,yes,-121.324669,38.638578,-73.970221,40.718357
"Chicago, IL","Waterloo, IA",3,Silver,61,Female,1,2004,10,8,Personal Travel,0,0,120,Eco Plus,19,2/19/14,MQ,EnjoyFlying Air Services,Iowa,Illinois,6,0,0,No,39,234,no,-92.384177,42.495926,-87.895427,41.827126
"Detroit, MI","Minneapolis, MN",3,Blue,53,Female,1,2004,8,9,Business travel,1,95,58,Eco,23,1/23/14,DL,Sigma Airlines Inc.,Minnesota,Michigan,17,1,0,No,70,528,no,-93.2798,44.978156,-83.227554,42.490005
"Memphis, TN","Houston, TX",4,Blue,49,Male,2,2010,12,5,Business travel,0,0,45,Eco,20,1/20/14,WN,Cheapseats Airlines Inc.,Texas,Tennessee,15,1,0,No,69,484,no,-95.393531,29.784308,-89.917857,35.095071
"Salt Lake City, UT","Chicago, IL",4,Blue,24,Male,2,2006,33,13,Personal Travel,1,0,60,Eco,3,2/3/14,WN,Cheapseats Airlines Inc.,Illinois,Utah,8,20,5,No,188,1259,no,-87.895427,41.827126,-111.929515,40.640838
"San Diego, CA","Tucson, AZ",4,Blue,79,Female,1,2010,37,4,Business travel,0,0,20,Eco,24,2/24/14,WN,Cheapseats Airlines Inc.,Arizona,California,7,0,0,No,61,368,no,-110.946141,32.254891,-117.128799,32.928728
"Orlando, FL","Baltimore, MD",4,Blue,26,Female,1,2004,15,1,Business travel,1,0,60,Eco,28,2/28/14,WN,Cheapseats Airlines Inc.,Maryland,Florida,6,1,0,No,122,787,no,-76.64776,39.234099,-81.411184,28.584434
"San Francisco, CA","New York, NY",3,Blue,69,Male,0,2010,74,7,Personal Travel,0,0,40,Eco,31,3/31/14,DL,Sigma Airlines Inc.,New York,California,7,0,0,No,360,2586,no,-73.970221,40.718357,-122.383287,37.754645
"Portland, OR","Santa Barbara, CA",4,Blue,80,Male,2,2003,15,1,Business travel,0,0,0,Eco,10,1/10/14,OO,Northwest Business Airlines Inc.,California,Oregon,13,0,0,No,111,784,no,-119.724102,34.42747,-122.651087,45.520404
"Yuma, AZ","Phoenix, AZ",3,Blue,71,Male,1,2011,3,2,Personal Travel,0,70,325,Business,12,1/12/14,OO,Northwest Business Airlines Inc.,Arizona,Arizona,11,0,0,No,33,160,no,-111.970041,33.494067,-114.56828,32.677243
"Washington, DC","New York, NY",4,Blue,35,Male,1,2012,8,4,Business travel,1,0,60,Eco,5,2/5/14,US,Southeast Airlines Co.,New York,Virginia,15,0,0,No,52,214,no,-73.970221,40.718357,-77.18974,38.897394
"Las Vegas, NV","Kansas City, MO",4,Silver,39,Male,1,2012,22,13,Business travel,2,152,0,Eco,9,3/9/14,WN,Cheapseats Airlines Inc.,Missouri,Nevada,6,0,0,No,143,1139,no,-94.594897,39.039792,-115.167218,36.134893
"Los Angeles, CA","San Francisco, CA",4,Silver,44,Male,1,2009,10,5,Business travel,0,0,170,Eco,29,1/29/14,OU,Oursin Airlines Inc.,California,California,14,0,0,No,57,337,no,-122.383287,37.754645,-118.104332,33.982668
"Detroit, MI","Denver, CO",4,Blue,60,Female,1,2005,14,10,Mileage tickets,1,0,40,Eco,6,3/6/14,DL,Sigma Airlines Inc.,Colorado,Michigan,16,0,1,No,144,1123,no,-104.955096,39.710774,-83.227554,42.490005
"Chicago, IL","Minneapolis, MN",3,Silver,40,Male,1,2008,4,2,Business travel,0,60,90,Eco,8,1/8/14,OO,Northwest Business Airlines Inc.,Minnesota,Illinois,7,0,7,No,53,334,yes,-93.2798,44.978156,-87.895427,41.827126
"Atlanta, GA","Charlotte, NC",5,Platinum,36,Female,1,2009,8,25,Mileage tickets,1,60,85,Eco,19,1/19/14,DL,Sigma Airlines Inc.,North Carolina,Georgia,8,0,0,No,40,226,no,-80.815826,35.249654,-84.331858,33.824102
"Hartford, CT","Atlanta, GA",2,Platinum,55,Male,1,2003,11,26,Business travel,1,0,20,Eco,6,1/6/14,DL,Sigma Airlines Inc.,Georgia,Connecticut,7,2,7,No,103,859,yes,-84.331858,33.824102,-72.69883,41.740122
"Orlando, FL","Los Angeles, CA",2,Blue,55,Male,1,2007,7,4,Business travel,0,35,0,Eco Plus,15,3/15/14,AA,Paul Smith Airlines Inc.,California,Florida,21,0,0,No,251,2218,no,-118.104332,33.982668,-81.411184,28.584434
"Atlanta, GA","Orlando, FL",4,Silver,33,Female,1,2006,3,29,Business travel,1,0,45,Eco,10,1/10/14,FL,FlyHere Airways,Florida,Georgia,6,0,0,No,67,404,no,-81.411184,28.584434,-84.331858,33.824102
"Little Rock, AR","Houston, TX",5,Gold,52,Male,1,2003,12,24,Business travel,2,0,45,Eco,19,1/19/14,EV,FlyFast Airways Inc.,Texas,Arkansas,10,0,0,No,56,374,no,-95.393531,29.784308,-92.321221,34.756564
"Wichita, KS","Dallas, TX",3,Blue,26,Female,2,2005,0,5,Mileage tickets,2,0,20,Eco,27,2/27/14,WN,Cheapseats Airlines Inc.,Texas,Kansas,15,19,18,No,53,333,yes,-96.972001,32.812727,-97.327333,37.679735
"Denver, CO","Salt Lake City, UT",2,Blue,76,Female,2,2012,35,6,Personal Travel,0,0,15,Eco,12,3/12/14,F9,GoingNorth Airlines Inc.,Utah,Colorado,7,0,9,No,59,391,yes,-111.929515,40.640838,-104.955096,39.710774
"San Francisco, CA","San Diego, CA",4,Blue,40,Female,1,2009,23,8,Business travel,1,0,60,Eco Plus,20,2/20/14,OU,Oursin Airlines Inc.,California,California,17,1,0,No,69,447,no,-117.128799,32.928728,-122.383287,37.754645
"Salt Lake City, UT","Fargo, ND",3,Silver,50,Female,1,2004,23,4,Business travel,0,25,150,Eco,9,2/9/14,OO,Northwest Business Airlines Inc.,North Dakota,Utah,17,32,26,No,126,866,yes,-96.82068,46.86245,-111.929515,40.640838
"Houston, TX","Amarillo, TX",4,Blue,31,Female,0,2010,22,35,Business travel,2,20,45,Eco,4,1/4/14,EV,FlyFast Airways Inc.,Texas,Texas,6,0,0,No,71,517,no,-101.849137,35.197528,-95.393531,29.784308
"Atlanta, GA","St. Louis, MO",4,Blue,50,Male,1,2008,43,2,Business travel,1,0,120,Eco,18,3/18/14,DL,Sigma Airlines Inc.,Missouri,Georgia,19,5,1,No,65,484,no,-90.340926,38.630705,-84.331858,33.824102
"Los Angeles, CA","Kansas City, MO",3,Blue,62,Female,1,2004,22,9,Personal Travel,0,30,15,Eco,20,2/20/14,WN,Cheapseats Airlines Inc.,Missouri,California,7,0,0,No,188,1363,no,-94.594897,39.039792,-118.104332,33.982668
"Atlanta, GA","Detroit, MI",3,Blue,35,Female,1,2005,14,14,Business travel,6,0,135,Eco,22,3/22/14,FL,FlyHere Airways,Michigan,Georgia,11,35,36,No,92,594,yes,-83.227554,42.490005,-84.331858,33.824102
"Philadelphia, PA","Miami, FL",4,Silver,33,Male,1,2004,0,10,Business travel,2,0,30,Eco,1,3/1/14,AA,Paul Smith Airlines Inc.,Florida,Pennsylvania,14,0,0,No,142,1013,no,-80.231428,26.175616,-75.298163,39.973331
"Philadelphia, PA","San Francisco, CA",2,Blue,35,Female,2,2009,28,6,Personal Travel,2,75,10,Eco,16,2/16/14,US,Southeast Airlines Co.,California,Pennsylvania,13,0,0,No,270,2521,no,-122.383287,37.754645,-75.298163,39.973331
"San Francisco, CA","Denver, CO",4,Blue,41,Male,2,2009,43,7,Business travel,0,30,20,Business,7,3/7/14,OU,Oursin Airlines Inc.,Colorado,California,22,69,64,No,127,967,yes,-104.955096,39.710774,-122.383287,37.754645
"Sacramento, CA","San Diego, CA",4,Silver,42,Female,1,2005,0,12,Personal Travel,1,200,60,Business,30,1/30/14,WN,Cheapseats Airlines Inc.,California,California,16,4,1,No,77,480,no,-117.128799,32.928728,-121.324669,38.638578
"Orlando, FL","Washington, DC",2,Blue,44,Male,1,2004,4,4,Personal Travel,0,0,60,Eco,7,1/7/14,US,Southeast Airlines Co.,Virginia,Florida,15,3,21,No,129,759,yes,-77.18974,38.897394,-81.411184,28.584434
"Atlanta, GA","Houston, TX",3,Blue,33,Female,2,2006,4,28,Personal Travel,3,0,85,Eco,26,3/26/14,EV,FlyFast Airways Inc.,Texas,Georgia,8,0,0,No,89,689,no,-95.393531,29.784308,-84.331858,33.824102
"Los Angeles, CA","San Diego, CA",4,Blue,45,Female,1,2008,15,10,Business travel,0,80,120,Eco,24,3/24/14,OO,Northwest Business Airlines Inc.,California,California,13,0,0,No,27,109,no,-117.128799,32.928728,-118.104332,33.982668
"Washington, DC","San Diego, CA",4,Blue,39,Female,1,2010,13,16,Business travel,2,30,150,Eco,21,1/21/14,OU,Oursin Airlines Inc.,California,Virginia,13,2,2,No,264,2253,no,-117.128799,32.928728,-77.18974,38.897394
"Denver, CO","Sacramento, CA",3,Blue,50,Male,0,2010,0,10,Business travel,0,0,75,Eco,6,2/6/14,OU,Oursin Airlines Inc.,California,Colorado,13,8,1,No,109,909,no,-121.324669,38.638578,-104.955096,39.710774
"Kahului, HI","San Diego, CA",2,Blue,72,Female,1,2004,2,1,Personal Travel,0,240,60,Eco,6,3/6/14,AS,FlyToSun Airlines Inc.,California,Hawaii,7,1,5,No,351,2541,no,-117.128799,32.928728,-156.477892,20.886428
"Tampa, FL","Detroit, MI",2,Blue,73,Male,1,2003,61,1,Personal Travel,0,0,0,Eco,24,1/24/14,DL,Sigma Airlines Inc.,Michigan,Florida,15,0,0,No,129,983,no,-83.227554,42.490005,-82.513188,28.006247
"Panama City, FL","Atlanta, GA",1,Blue,59,Female,1,2003,23,7,Business travel,0,0,75,Eco,23,2/23/14,DL,Sigma Airlines Inc.,Georgia,Florida,9,0,0,No,43,240,no,-84.331858,33.824102,-85.677271,30.194089
"Orlando, FL","Chicago, IL",2,Gold,68,Female,1,2009,29,8,Business travel,0,110,20,Eco,24,2/24/14,FL,FlyHere Airways,Illinois,Florida,12,0,0,No,127,990,no,-87.895427,41.827126,-81.411184,28.584434
"Chicago, IL","Kansas City, MO",4,Silver,29,Female,2,2008,27,1,Business travel,0,0,150,Eco Plus,5,2/5/14,WN,Cheapseats Airlines Inc.,Missouri,Illinois,13,22,27,No,61,405,yes,-94.594897,39.039792,-87.895427,41.827126
"Los Angeles, CA","New Orleans, LA",4,Blue,39,Female,2,2010,46,6,Business travel,2,0,120,Eco,14,3/14/14,WN,Cheapseats Airlines Inc.,Louisiana,California,11,3,21,No,242,1670,yes,-90.143683,29.954653,-118.104332,33.982668
"Cleveland, OH","Houston, TX",2,Blue,80,Female,1,2010,35,9,Personal Travel,0,5,40,Eco,12,2/12/14,OU,Oursin Airlines Inc.,Texas,Ohio,12,0,0,No,134,1091,no,-95.393531,29.784308,-81.605443,41.443638
"Atlanta, GA","Indianapolis, IN",5,Silver,45,Female,1,2010,12,40,Personal Travel,1,0,135,Eco,23,2/23/14,DL,Sigma Airlines Inc.,Indiana,Georgia,16,0,0,No,70,432,no,-86.145521,39.811262,-84.331858,33.824102
"Richmond, VA","Cleveland, OH",3,Gold,66,Female,1,2012,31,10,Business travel,0,50,19,Eco,21,3/21/14,EV,FlyFast Airways Inc.,Ohio,Virginia,19,0,0,No,53,362,no,-81.605443,41.443638,-77.487983,37.477942
"Las Vegas, NV","Denver, CO",4,Silver,34,Female,2,2006,17,8,Business travel,0,0,90,Eco,2,2/2/14,OU,Oursin Airlines Inc.,Colorado,Nevada,15,6,0,No,89,628,no,-104.955096,39.710774,-115.167218,36.134893
"Phoenix, AZ","St. Louis, MO",3,Blue,43,Male,1,2007,11,1,Personal Travel,0,0,65,Eco,21,2/21/14,WN,Cheapseats Airlines Inc.,Missouri,Arizona,13,8,8,No,192,1262,yes,-90.340926,38.630705,-111.970041,33.494067
"Buffalo, NY","Orlando, FL",4,Blue,43,Female,2,2003,12,3,Business travel,0,10,85,Eco,1,3/1/14,WN,Cheapseats Airlines Inc.,Florida,New York,15,28,25,No,138,1011,yes,-81.411184,28.584434,-78.823675,42.92493
